invert,sepia,saturate,hue-rotate,brightness,contrast
0,100,0,164,95,103
1,64,2095,95,100,101
1,97,4878,86,78,101
2,45,1875,55,95,103
3,10,4777,37,94,104
1,79,4219,130,104,101
4,21,2407,118,93,107
1,86,4517,101,100,103
1,71,7350,145,101,104
3,58,6830,122,88,111
3,21,7491,130,87,103
5,47,812,83,93,106
5,31,2139,96,101,106
7,9,4817,85,99,110
7,91,389,72,93,110
7,8,7371,80,99,108
4,86,2145,109,94,106
3,47,7328,90,94,104
8,16,2794,88,95,109
4,56,2927,109,98,103
6,46,2785,85,90,104
8,23,2358,86,95,107
6,60,2262,83,96,105
8,22,2619,80,98,104
9,58,666,73,95,107
10,25,2022,74,87,106
8,11,5592,80,102,106
7,21,7174,99,95,105
4,85,6116,88,94,105
8,31,3359,88,96,105
8,67,1130,82,104,105
8,16,6959,92,94,103
7,86,1948,93,97,104
8,91,1400,105,95,106
10,30,2285,89,100,108
7,68,2621,90,98,103
7,52,4017,98,101,104
12,18,3632,82,97,106
6,56,5973,91,104,103
10,36,3463,90,96,103
10,78,1331,85,98,106
8,52,4010,102,96,104
11,38,2912,88,95,107
12,75,974,81,99,108
12,32,2343,84,102,105
10,80,1533,90,103,104
12,63,1432,89,96,108
12,46,3012,94,94,108
12,78,1268,90,93,104
13,13,7500,95,101,106
13,37,3583,97,95,109
11,52,2900,95,100,106
13,38,2715,94,100,106
13,31,3877,95,96,104
14,60,1667,88,92,105
14,25,5650,94,90,106
13,35,3843,94,95,106
15,24,4484,95,96,107
14,40,3416,97,95,109
12,88,1985,100,94,106
13,67,2661,96,94,105
13,77,1524,96,101,105
11,32,7323,103,100,104
14,53,3272,102,93,107
14,29,4940,100,98,104
15,31,4287,91,98,106
16,65,1536,89,96,105
17,27,3598,92,99,105
17,22,5645,91,94,104
16,48,2425,94,95,103
16,19,5816,93,104,106
17,50,2116,91,94,104
17,27,5451,99,93,107
14,48,4482,100,97,105
18,66,1684,90,95,108
18,92,954,86,97,106
11,67,4854,100,98,103
18,21,6919,96,93,103
16,64,2261,98,103,107
18,64,2203,95,93,106
12,71,4550,110,95,101
16,86,2098,99,96,107
11,88,4867,91,95,107
18,77,1494,91,100,103
19,34,4111,93,99,107
19,29,5121,99,93,106
20,95,1275,94,90,107
11,98,4349,95,98,102
15,44,7499,96,89,107
15,40,5408,104,102,104
17,83,2587,97,91,107
21,93,1019,87,96,106
17,77,2759,100,92,101
19,44,4195,95,95,105
21,96,899,85,101,107
15,84,2754,104,101,105
15,80,3719,100,95,108
19,24,7298,110,95,101
23,67,1556,90,94,104
23,68,1761,92,92,104
20,98,1687,99,94,106
18,87,2877,96,89,103
17,88,3227,95,95,105
16,87,4618,96,88,103
10,85,6194,136,96,102
19,97,2197,98,93,107
23,94,1113,89,100,105
18,78,3050,108,95,103
20,60,3285,98,100,104
15,100,5546,105,92,103
19,100,2228,115,92,105
24,71,2389,93,87,103
17,94,3109,102,96,102
25,83,1489,95,94,104
27,59,1939,92,93,102
15,86,7461,107,99,105
19,51,4750,112,99,104
21,99,2248,98,93,103
26,83,1369,92,96,105
20,97,2307,113,93,105
19,75,5719,99,97,104
17,83,3676,122,94,107
29,46,2535,92,94,104
24,100,5295,108,93,107
25,96,6278,120,93,105
23,99,5405,116,93,107
16,99,5835,113,102,105
28,99,990,88,97,106
25,84,1781,94,101,102
21,100,3804,104,96,105
21,100,3778,99,99,103
20,95,5131,112,100,102
22,100,4189,120,94,103
18,99,5077,124,99,108
23,89,3075,92,99,102
29,95,1073,89,98,104
24,98,3322,108,95,106
28,89,1623,95,94,107
27,68,2636,102,92,102
33,36,3189,93,94,102
30,88,1636,97,90,102
24,71,6451,126,100,105
22,59,7370,124,103,103
32,95,1681,94,88,101
34,83,4401,109,93,105
29,99,1299,96,96,108
37,56,6961,114,95,104
41,80,5881,115,93,111
38,40,6690,104,92,104
30,99,2866,110,94,103
32,98,1167,91,96,105
35,38,4861,95,94,107
31,70,2864,97,98,103
34,64,3880,107,95,106
27,87,2586,104,100,104
39,28,5222,97,91,104
35,83,1707,96,91,105
34,92,3498,99,100,105
35,98,1165,91,92,106
37,80,1385,91,92,103
27,84,2976,111,104,103
27,95,2536,110,103,105
37,86,1906,93,94,103
34,94,1005,87,102,111
34,96,2816,106,100,107
34,73,1622,92,102,105
39,86,4176,106,103,104
37,91,1238,90,93,106
43,83,2781,92,94,106
33,79,2379,99,102,105
39,58,2610,93,99,103
41,58,2186,91,96,104
34,96,1274,92,101,104
37,97,2628,97,102,107
35,97,2096,94,104,104
37,84,1338,90,99,108
35,97,1718,93,103,103
39,98,1079,89,96,105
58,73,5002,89,97,109
53,94,3829,90,99,105
35,75,1810,95,106,102
